0011005     00
0012001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0012002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0012003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0012004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
0012005HOUSEHOLD ADDRESS 5                     HOUSEHOLD HEAD 5              0  0     0
0021005     00
0022001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0022002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0022003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0022004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
0022005HOUSEHOLD ADDRESS 5                     HOUSEHOLD HEAD 5              0  0     0
0031005     00
0032001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0032002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0032003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0032004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
0032005HOUSEHOLD ADDRESS 5                     HOUSEHOLD HEAD 5              0  0     0
0041005     00
0042001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0042002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0042003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0042004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
0042005HOUSEHOLD ADDRESS 5                     HOUSEHOLD HEAD 5              0  0     0
0051005     00
0052001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0052002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0052003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0052004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
0052005HOUSEHOLD ADDRESS 5                     HOUSEHOLD HEAD 5              0  0     0
0061005     00
0062001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0062002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0062003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0062004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
0062005HOUSEHOLD ADDRESS 5                     HOUSEHOLD HEAD 5              0  0     0
0071005     00
0072001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0072002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0072003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0072004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
0072005HOUSEHOLD ADDRESS 5                     HOUSEHOLD HEAD 5              0  0     0
0081005     00
0082001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0082002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0082003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0082004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
0082005HOUSEHOLD ADDRESS 5                     HOUSEHOLD HEAD 5              0  0     0
0091005     00
0092001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0092002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0092003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0092004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
0092005HOUSEHOLD ADDRESS 5                     HOUSEHOLD HEAD 5              0  0     0
0101005     00
0102001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0102002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0102003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0102004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
0102005HOUSEHOLD ADDRESS 5                     HOUSEHOLD HEAD 5              0  0     0
0111005     00
0112001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0112002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0112003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0112004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
0112005HOUSEHOLD ADDRESS 5                     HOUSEHOLD HEAD 5              0  0     0
0121005     00
0122001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0122002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0122003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0122004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
0122005HOUSEHOLD ADDRESS 5                     HOUSEHOLD HEAD 5              0  0     0
0131005     00
0132001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0132002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0132003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0132004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
0132005HOUSEHOLD ADDRESS 5                     HOUSEHOLD HEAD 5              0  0     0
0141005     00
0142001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0142002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0142003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0142004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
0142005HOUSEHOLD ADDRESS 5                     HOUSEHOLD HEAD 5              0  0     0
0151005     00
0152001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0152002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0152003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0152004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
0152005HOUSEHOLD ADDRESS 5                     HOUSEHOLD HEAD 5              0  0     0
0161005     00
0162001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0162002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0162003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0162004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
0162005HOUSEHOLD ADDRESS 5                     HOUSEHOLD HEAD 5              0  0     0
0171005     00
0172001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0172002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0172003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0172004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
0172005HOUSEHOLD ADDRESS 5                     HOUSEHOLD HEAD 5              0  0     0
0181005     00
0182001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0182002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0182003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0182004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
0182005HOUSEHOLD ADDRESS 5                     HOUSEHOLD HEAD 5              0  0     0
0191005     00
0192001HOUSEHOLD ADDRESS 1                     HOUSEHOLD HEAD 1              0  0     0
0192002HOUSEHOLD ADDRESS 2                     HOUSEHOLD HEAD 2              0  0     0
0192003HOUSEHOLD ADDRESS 3                     HOUSEHOLD HEAD 3              0  0     0
0192004HOUSEHOLD ADDRESS 4                     HOUSEHOLD HEAD 4              0  0     0
